0-100, *, 51744, Educated, *, NonMarried, Exec-managerial, Single, Orient, Male, 0, 0, 50-100, *, >50k
0-100, *, 184759, Educated, *, Married, Handlers-cleaners, In-Family, Occident, Male, 1797, 0, 0-50, *, <=50k
0-100, *, 180239, Educated, *, Married, Craft-repair, Single, Orient, Male, 0, 0, 50-100, *, <=50k
0-100, *, 111189, Educated, *, NonMarried, Machine-op-inspct, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 182977, Educated, *, Married, Other-service, Single, Orient, Female, 2964, 0, 50-100, *, <=50k
0-100, *, 135566, Educated, *, Married, Sales, Single, Occident, Female, 2329, 0, 0-50, *, <=50k
0-100, *, 105586, Educated, *, Married, Transport-moving, In-Family, Orient, Male, 0, 0, 0-50, *, <=50k
0-100, *, 316261, Educated, *, NonMarried, Exec-managerial, Single, Occident, Male, 99999, 0, 0-50, *, >50k
0-100, *, 82815, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
0-100, *, 136198, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 385242, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 9386, 0, 50-100, *, >50k
0-100, *, 59583, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 212660, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 188044, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 2392, 50-100, *, >50k
0-100, *, 237294, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 192230, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 154205, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 142646, Educated, *, Married, Priv-house-serv, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 123959, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 144608, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 209507, Educated, *, NonMarried, Craft-repair, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 72931, Educated, *, Married, Adm-clerical, Single, Occident, Male, 0, 0, 0-50, *, >50k
0-100, *, 145329, Educated, *, NonMarried, Machine-op-inspct, Single, Occident, Male, 401, 0, 0-50, *, <=50k
0-100, *, 235775, Educated, *, Married, Other-service, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 84979, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 20051, 0, 50-100, *, >50k
0-100, *, 344425, Educated, *, Married, Priv-house-serv, In-Family, Orient, Female, 0, 0, 0-50, *, <=50k
0-100, *, 155761, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 83601, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 138714, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 117898, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 71676, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 1944, 0-50, *, <=50k
0-100, *, 149912, Educated, *, NonMarried, Prof-specialty, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 187656, Educated, *, Married, Priv-house-serv, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 177550, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 3818, 0, 0-50, *, <=50k
0-100, *, 253642, Educated, *, Married, Machine-op-inspct, In-Family, Orient, Male, 0, 0, 0-50, *, <=50k
0-100, *, 169133, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 316185, Educated, *, Married, Protective-serv, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 208843, Educated, *, Married, Protective-serv, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 259612, Educated, *, Married, Protective-serv, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 199949, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 20051, 0, 50-100, *, >50k
0-100, *, 174309, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 178665, Educated, *, Married, Other-service, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 239880, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 98695, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 127016, Educated, *, Married, Priv-house-serv, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 203910, Educated, *, Married, Other-service, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 243768, Educated, *, NonMarried, Handlers-cleaners, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 93125, Educated, *, Married, Sales, In-Family, Occident, Male, 1424, 0, 0-50, *, <=50k
0-100, *, 117169, Educated, *, NonMarried, Farming-fishing, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 120796, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 225964, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 97077, Educated, *, Married, Sales, Single, Orient, Female, 0, 0, 0-50, *, <=50k
0-100, *, 116202, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 70697, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 125784, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 253408, Educated, *, Married, Transport-moving, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 124191, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 142535, Educated, *, Married, Adm-clerical, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 278938, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 236878, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 237624, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 199949, Educated, *, Married, Protective-serv, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 329355, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 25319, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 92792, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 98116, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 311184, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 191446, Educated, *, Married, Other-service, In-Family, Orient, Female, 0, 0, 0-50, *, <=50k
0-100, *, 242108, Educated, *, Married, Sales, Single, Occident, Male, 2346, 0, 0-50, *, <=50k
0-100, *, 30599, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 71898, Educated, *, NonMarried, Priv-house-serv, Single, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 165968, Educated, *, Married, Exec-managerial, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 146576, Educated, *, Married, Prof-specialty, Single, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 218521, Educated, *, Married, Craft-repair, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 31195, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 309955, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 2174, 50-100, *, >50k
0-100, *, 208426, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 231741, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 4931, 0, 0-50, *, <=50k
0-100, *, 200068, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
0-100, *, 184335, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 192813, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 104896, Educated, *, Married, Sales, In-Family, Occident, Male, 2653, 0, 0-50, *, <=50k
0-100, *, 31428, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 3456, 0, 50-100, *, <=50k
0-100, *, 113868, Educated, *, Married, Prof-specialty, In-Family, Orient, Male, 0, 0, 0-50, *, >50k
0-100, *, 314209, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 205860, Educated, *, Married, Craft-repair, In-Family, Orient, Male, 0, 1735, 50-100, *, <=50k
0-100, *, 95985, Educated, *, Married, Other-service, Single, Orient, Male, 0, 0, 0-50, *, <=50k
0-100, *, 36325, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 316119, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 125197, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 81534, Educated, *, Married, Sales, In-Family, Orient, Male, 0, 0, 0-50, *, >50k
0-100, *, 213349, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 101887, Educated, *, Married, Priv-house-serv, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 256474, Educated, *, NonMarried, Protective-serv, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 188612, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 239038, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 187424, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 164570, Educated, *, NonMarried, Exec-managerial, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 146929, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 236012, Educated, *, Married, Handlers-cleaners, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 292915, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 1825, 0-50, *, >50k
0-100, *, 192413, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 209454, Educated, *, Married, Transport-moving, In-Family, Orient, Male, 0, 0, 50-100, *, <=50k
0-100, *, 188709, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 99999, 0, 50-100, *, >50k
0-100, *, 183701, Educated, *, Married, Other-service, Single, Orient, Female, 0, 0, 0-50, *, <=50k
0-100, *, 161387, Educated, *, Married, Handlers-cleaners, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 162340, Educated, *, Married, Exec-managerial, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 109101, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 84197, Educated, *, Married, Sales, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 39890, Educated, *, Married, Transport-moving, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 54732, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
0-100, *, 260669, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 88638, Educated, *, NonMarried, Prof-specialty, In-Family, Occident, Female, 0, 3683, 0-50, *, >50k
0-100, *, 211075, Educated, *, Married, Other-service, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 119129, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 2149, 0-50, *, <=50k
0-100, *, 231002, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
0-100, *, 104001, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 117017, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 211075, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 181508, Educated, *, Married, Other-service, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 99183, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 199136, Educated, *, Married, Craft-repair, Single, Occident, Male, 15831, 0, 0-50, *, >50k
0-100, *, 180455, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 392886, Educated, *, Married, Farming-fishing, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 145463, Educated, *, Married, Priv-house-serv, Single, Orient, Female, 0, 0, 0-50, *, <=50k
0-100, *, 91488, Educated, *, Married, Transport-moving, In-Family, Orient, Male, 0, 0, 0-50, *, <=50k
0-100, *, 92298, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 129879, Educated, *, Married, Adm-clerical, Single, Occident, Female, 15831, 0, 50-100, *, >50k
0-100, *, 167537, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
0-100, *, 192290, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 97167, Educated, *, Married, Other-service, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 206682, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 1648, 0-50, *, <=50k
0-100, *, 228075, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 20051, 0, 0-50, *, >50k
0-100, *, 173929, Educated, *, Married, Prof-specialty, Single, Occident, Male, 0, 0, 0-50, *, >50k
0-100, *, 43599, Educated, *, Married, Other-service, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 101590, Educated, *, Married, Adm-clerical, Single, Orient, Female, 0, 0, 0-50, *, <=50k
0-100, *, 177387, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 247355, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 105886, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 1173, 0, 50-100, *, <=50k
0-100, *, 205580, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 127858, Educated, *, Married, Tech-support, Single, Occident, Female, 3273, 0, 50-100, *, <=50k
0-100, *, 267408, Educated, *, Married, Sales, In-Family, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 336007, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 77884, Educated, *, Married, Farming-fishing, In-Family, Orient, Male, 0, 0, 50-100, *, <=50k
0-100, *, 349347, Educated, *, Married, Handlers-cleaners, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 233882, Educated, *, Married, Farming-fishing, In-Family, Orient, Male, 0, 2457, 50-100, *, <=50k
