90, *, 51744, Educated, *, NonMarried, Exec-managerial, Single, Orient, Male, 0, 0, 50-100, *, >50k
78, *, 184759, Educated, *, Married, Handlers-cleaners, In-Family, Occident, Male, 1797, 0, 0-50, *, <=50k
78, *, 180239, Educated, *, Married, Craft-repair, Single, Orient, Male, 0, 0, 50-100, *, <=50k
78, *, 111189, Educated, *, NonMarried, Machine-op-inspct, Single, Occident, Female, 0, 0, 0-50, *, <=50k
78, *, 182977, Educated, *, Married, Other-service, Single, Orient, Female, 2964, 0, 50-100, *, <=50k
78, *, 135566, Educated, *, Married, Sales, Single, Occident, Female, 2329, 0, 0-50, *, <=50k
78, *, 105586, Educated, *, Married, Transport-moving, In-Family, Orient, Male, 0, 0, 0-50, *, <=50k
78, *, 316261, Educated, *, NonMarried, Exec-managerial, Single, Occident, Male, 99999, 0, 0-50, *, >50k
78, *, 82815, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
78, *, 136198, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
78, *, 385242, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 9386, 0, 50-100, *, >50k
78, *, 59583, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
78, *, 212660, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
78, *, 188044, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 2392, 50-100, *, >50k
78, *, 237294, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 50-100, *, >50k
77, *, 192230, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
77, *, 154205, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
77, *, 142646, Educated, *, Married, Priv-house-serv, Single, Occident, Female, 0, 0, 0-50, *, <=50k
77, *, 123959, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
77, *, 144608, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
77, *, 209507, Educated, *, NonMarried, Craft-repair, Single, Occident, Male, 0, 0, 50-100, *, <=50k
77, *, 72931, Educated, *, Married, Adm-clerical, Single, Occident, Male, 0, 0, 0-50, *, >50k
77, *, 145329, Educated, *, NonMarried, Machine-op-inspct, Single, Occident, Male, 401, 0, 0-50, *, <=50k
77, *, 235775, Educated, *, Married, Other-service, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
77, *, 84979, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 20051, 0, 50-100, *, >50k
77, *, 344425, Educated, *, Married, Priv-house-serv, In-Family, Orient, Female, 0, 0, 0-50, *, <=50k
77, *, 155761, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
77, *, 83601, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
77, *, 138714, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
77, *, 117898, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
77, *, 71676, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 1944, 0-50, *, <=50k
77, *, 149912, Educated, *, NonMarried, Prof-specialty, Single, Occident, Female, 0, 0, 0-50, *, <=50k
77, *, 187656, Educated, *, Married, Priv-house-serv, Single, Occident, Female, 0, 0, 0-50, *, <=50k
77, *, 177550, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 3818, 0, 0-50, *, <=50k
77, *, 253642, Educated, *, Married, Machine-op-inspct, In-Family, Orient, Male, 0, 0, 0-50, *, <=50k
76, *, 169133, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
76, *, 316185, Educated, *, Married, Protective-serv, Single, Occident, Female, 0, 0, 0-50, *, <=50k
76, *, 208843, Educated, *, Married, Protective-serv, Single, Occident, Male, 0, 0, 0-50, *, <=50k
76, *, 259612, Educated, *, Married, Protective-serv, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
76, *, 199949, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 20051, 0, 50-100, *, >50k
76, *, 174309, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
76, *, 178665, Educated, *, Married, Other-service, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
76, *, 239880, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
76, *, 98695, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
76, *, 127016, Educated, *, Married, Priv-house-serv, Single, Occident, Female, 0, 0, 50-100, *, <=50k
76, *, 203910, Educated, *, Married, Other-service, Single, Occident, Male, 0, 0, 0-50, *, <=50k
76, *, 243768, Educated, *, NonMarried, Handlers-cleaners, Single, Occident, Male, 0, 0, 0-50, *, <=50k
76, *, 93125, Educated, *, Married, Sales, In-Family, Occident, Male, 1424, 0, 0-50, *, <=50k
76, *, 117169, Educated, *, NonMarried, Farming-fishing, Single, Occident, Male, 0, 0, 0-50, *, <=50k
76, *, 120796, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
76, *, 225964, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 0-50, *, <=50k
76, *, 97077, Educated, *, Married, Sales, Single, Orient, Female, 0, 0, 0-50, *, <=50k
76, *, 116202, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
76, *, 70697, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
76, *, 125784, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
76, *, 253408, Educated, *, Married, Transport-moving, Single, Occident, Male, 0, 0, 50-100, *, <=50k
76, *, 124191, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
76, *, 142535, Educated, *, Married, Adm-clerical, Single, Occident, Male, 0, 0, 0-50, *, <=50k
76, *, 278938, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 0, 0-50, *, <=50k
76, *, 236878, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
76, *, 237624, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
76, *, 199949, Educated, *, Married, Protective-serv, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
76, *, 329355, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
76, *, 25319, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 0, 0-50, *, <=50k
75, *, 92792, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
75, *, 98116, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 50-100, *, >50k
75, *, 311184, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
75, *, 191446, Educated, *, Married, Other-service, In-Family, Orient, Female, 0, 0, 0-50, *, <=50k
75, *, 242108, Educated, *, Married, Sales, Single, Occident, Male, 2346, 0, 0-50, *, <=50k
75, *, 30599, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 0, 50-100, *, <=50k
75, *, 71898, Educated, *, NonMarried, Priv-house-serv, Single, Orient, Female, 0, 0, 50-100, *, <=50k
75, *, 165968, Educated, *, Married, Exec-managerial, Single, Occident, Female, 0, 0, 0-50, *, <=50k
75, *, 146576, Educated, *, Married, Prof-specialty, Single, Occident, Male, 0, 0, 50-100, *, >50k
75, *, 218521, Educated, *, Married, Craft-repair, Single, Occident, Male, 0, 0, 0-50, *, <=50k
75, *, 31195, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
75, *, 309955, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 2174, 50-100, *, >50k
75, *, 208426, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
75, *, 231741, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 4931, 0, 0-50, *, <=50k
75, *, 200068, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
75, *, 184335, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
75, *, 192813, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 50-100, *, <=50k
75, *, 104896, Educated, *, Married, Sales, In-Family, Occident, Male, 2653, 0, 0-50, *, <=50k
75, *, 31428, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 3456, 0, 50-100, *, <=50k
75, *, 113868, Educated, *, Married, Prof-specialty, In-Family, Orient, Male, 0, 0, 0-50, *, >50k
75, *, 314209, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
75, *, 205860, Educated, *, Married, Craft-repair, In-Family, Orient, Male, 0, 1735, 50-100, *, <=50k

75, *, 36325, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
75, *, 316119, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 0, 0-50, *, <=50k
75, *, 125197, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
75, *, 81534, Educated, *, Married, Sales, In-Family, Orient, Male, 0, 0, 0-50, *, >50k
75, *, 213349, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
75, *, 101887, Educated, *, Married, Priv-house-serv, Single, Occident, Female, 0, 0, 50-100, *, <=50k
75, *, 256474, Educated, *, NonMarried, Protective-serv, Single, Occident, Male, 0, 0, 0-50, *, <=50k
75, *, 188612, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 50-100, *, <=50k
75, *, 239038, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
75, *, 187424, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
75, *, 164570, Educated, *, NonMarried, Exec-managerial, Single, Occident, Male, 0, 0, 50-100, *, <=50k
74, *, 146929, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
74, *, 236012, Educated, *, Married, Handlers-cleaners, Single, Occident, Female, 0, 0, 0-50, *, <=50k
74, *, 292915, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 1825, 0-50, *, >50k
74, *, 192413, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
74, *, 209454, Educated, *, Married, Transport-moving, In-Family, Orient, Male, 0, 0, 50-100, *, <=50k
74, *, 188709, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 99999, 0, 50-100, *, >50k
74, *, 183701, Educated, *, Married, Other-service, Single, Orient, Female, 0, 0, 0-50, *, <=50k
74, *, 161387, Educated, *, Married, Handlers-cleaners, Single, Occident, Female, 0, 0, 0-50, *, <=50k
74, *, 162340, Educated, *, Married, Exec-managerial, Single, Occident, Male, 0, 0, 50-100, *, <=50k
74, *, 109101, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
74, *, 84197, Educated, *, Married, Sales, Single, Occident, Female, 0, 0, 0-50, *, <=50k
74, *, 39890, Educated, *, Married, Transport-moving, Single, Occident, Female, 0, 0, 0-50, *, <=50k
74, *, 54732, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
74, *, 260669, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
74, *, 88638, Educated, *, NonMarried, Prof-specialty, In-Family, Occident, Female, 0, 3683, 0-50, *, >50k
74, *, 211075, Educated, *, Married, Other-service, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
74, *, 119129, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 2149, 0-50, *, <=50k
74, *, 231002, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
74, *, 104001, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
74, *, 117017, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 0-50, *, <=50k
74, *, 211075, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
74, *, 181508, Educated, *, Married, Other-service, Single, Occident, Male, 0, 0, 0-50, *, <=50k
74, *, 99183, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
74, *, 199136, Educated, *, Married, Craft-repair, Single, Occident, Male, 15831, 0, 0-50, *, >50k
74, *, 180455, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
74, *, 392886, Educated, *, Married, Farming-fishing, Single, Occident, Female, 0, 0, 0-50, *, <=50k
74, *, 145463, Educated, *, Married, Priv-house-serv, Single, Orient, Female, 0, 0, 0-50, *, <=50k
74, *, 91488, Educated, *, Married, Transport-moving, In-Family, Orient, Male, 0, 0, 0-50, *, <=50k
74, *, 92298, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
74, *, 129879, Educated, *, Married, Adm-clerical, Single, Occident, Female, 15831, 0, 50-100, *, >50k
74, *, 167537, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
74, *, 192290, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
74, *, 97167, Educated, *, Married, Other-service, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
74, *, 206682, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 1648, 0-50, *, <=50k
74, *, 228075, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 20051, 0, 0-50, *, >50k
74, *, 173929, Educated, *, Married, Prof-specialty, Single, Occident, Male, 0, 0, 0-50, *, >50k
74, *, 43599, Educated, *, Married, Other-service, Single, Occident, Male, 0, 0, 0-50, *, <=50k
74, *, 101590, Educated, *, Married, Adm-clerical, Single, Orient, Female, 0, 0, 0-50, *, <=50k
73, *, 177387, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
73, *, 247355, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
73, *, 105886, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 1173, 0, 50-100, *, <=50k
73, *, 205580, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
73, *, 127858, Educated, *, Married, Tech-support, Single, Occident, Female, 3273, 0, 50-100, *, <=50k
73, *, 267408, Educated, *, Married, Sales, In-Family, Occident, Female, 0, 0, 0-50, *, <=50k
73, *, 336007, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
73, *, 77884, Educated, *, Married, Farming-fishing, In-Family, Orient, Male, 0, 0, 50-100, *, <=50k
73, *, 349347, Educated, *, Married, Handlers-cleaners, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
73, *, 233882, Educated, *, Married, Farming-fishing, In-Family, Orient, Male, 0, 2457, 50-100, *, <=50k
73, *, 80986, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
73, *, 300404, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
73, *, 153127, Educated, *, Married, Priv-house-serv, Single, Occident, Female, 0, 0, 0-50, *, <=50k
73, *, 183213, Educated, *, Married, Prof-specialty, Single, Occident, Male, 25124, 0, 50-100, *, >50k
73, *, 161027, Educated, *, Married, Protective-serv, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
73, *, 139978, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
73, *, 232871, Educated, *, Married, Protective-serv, In-Family, Occident, Male, 2228, 0, 0-50, *, <=50k
73, *, 173047, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
73, *, 190078, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
73, *, 96262, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 50-100, *, <=50k
